Title,Rated
Saving Christmas,PG
Percy Jackson: Sea of Monsters,PG
Mission to Mars,PG
Bicentennial Man,PG
The Nutcracker in 3D,PG
Happy Feet,PG
Hotel Transylvania,PG
Enchanted,PG
Open Season,PG
Mirror Mirror,PG
Arthur Christmas,PG
Cats & Dogs: The Revenge of Kitty Galore,PG
Scooby-Doo,PG
Hotel Transylvania 2,PG
Over the Hedge,PG
Lilo & Stitch,PG
Robots,PG
Bedtime Stories,PG
Yogi Bear,PG
Flubber,PG
Space Jam,PG
The Pink Panther,PG
Zookeeper,PG
Mighty Joe Young,PG
The Legend of Zorro,PG
Walking with Dinosaurs 3D,PG
Star Wars: Episode V - The Empire Strikes Back,PG
Looney Tunes: Back in Action,PG
Arthur and the Invisibles,PG
Top Cat Begins,PG
Journey 2: The Mysterious Island,PG
Jack and Jill,PG
Cloudy with a Chance of Meatballs 2,PG
The Little Prince,PG
Despicable Me 2,PG
The Adventures of Rocky & Bullwinkle,PG
The Secret Life of Pets,PG
Ice Age: The Meltdown,PG
Madagascar,PG
Shark Tale,PG
Hairspray,PG
Inspector Gadget,PG
Monster House,PG
Hotel for Dogs,PG
Star Wars: Episode IV - A New Hope,PG
Titan A.E.,PG
Minions,PG
The SpongeBob Movie: Sponge Out of Water,PG
The Angry Birds Movie,PG
Dr. Dolittle 2,PG
It's a Wonderful Life,PG
The Majestic,PG
Two Brothers,PG
Shrek 2,PG
Alvin and the Chipmunks: The Squeakquel,PG
Runaway Bride,PG
Hook,PG
Star Trek: Insurrection,PG
Sky Captain and the World of Tomorrow,PG
Osmosis Jones,PG
Legends of Oz: Dorothy's Return,PG
Despicable Me,PG
Ice Age,PG
Apollo 13,PG
You've Got Mail,PG
Annie,PG
The Kid,PG
Casablanca,PG
We Are Marshall,PG
Zathura: A Space Adventure,PG
Astro Boy,PG
Hop,PG
Raiders of the Lost Ark,PG
The Lego Movie,PG
Marley & Me,PG
Daddy Day Care,PG
The Prince of Egypt,PG
Cats & Dogs,PG
Antz,PG
Cheaper by the Dozen 2,PG
Coraline,PG
This Is It,PG
